wallet_id,score
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,457
0x06b51c6882b27cb05e712185531c1f74996dd988,466
0x0795732aacc448030ef374374eaae57d2965c16c,372
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,381
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,511
0x104ae61d8d487ad689969a17807ddc338b445416,521
0x111c7208a7e2af345d36b6d4aace8740d61a3078,702
0x124853fecb522c57d9bd5c21231058696ca6d596,329
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,374
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,504
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,883
0x19df3e87f73c4aaf4809295561465b993e102668,691
0x1ab2ccad4fc97c9968ea87d4435326715be32872,389
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,316
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,310
0x22d7510588d90ed5a87e0f838391aaafa707c34b,492
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,406
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,550
0x27f72a000d8e9f324583f3a3491ea66998275b28,359
0x2844658bf341db96aa247259824f42025e3bcec2,757
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,217
0x330513970efd9e8dd606275fb4c50378989b3204,359
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,401
0x3867d222ba91236ad4d12c31056626f9e798629c,653
0x3a44be4581137019f83021eeee72b7dc57756069,876
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,444
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,332
0x4814be124d7fe3b240eb46061f7ddfab468fe122,496
0x4839e666e2baf12a51bf004392b35972eeddeabf,860
0x4c4d05fe859279c91b074429b5fc451182cec745,364
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,877
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,451
0x4e61251336c32e4fe6bfd5fab014846599321389,569
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,546
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,271
0x54e19653be9d4143b08994906be0e27555e8834d,581
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,426
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,529
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,355
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,822
0x58d68d4bcf9725e40353379cec92b90332561683,643
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,670
0x612a3500559be7be7703de6dc397afb541a16f7f,572
0x623af911f493747c216ad389c7805a37019c662d,842
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,442
0x6d69ca3711e504658977367e13c300ab198379f1,507
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,695
0x70c1864282599a762c674dd9d567b37e13bce755,637
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,419
0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,667
0x767055590c73b7d2aaa6219da13807c493f91a20,131
0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,460
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,508
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,624
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,636
0x7de76a449cf60ea3e111ff18b28e516d89532152,661
0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,394
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,490
0x83ea74c67d393c6894c34c464657bda2183a2f1a,242
0x8441fecef5cc6f697be2c4fc4a36feacede8df67,519
0x854a873b8f9bfac36a5eb9c648e285a095a7478d,339
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,352
0x880a0af12da55df1197f41697c1a1b61670ed410,160
0x8aaece100580b749a20f8ce30338c4e0770b65ed,478
0x8be38ea2b22b706aef313c2de81f7d179024dd30,385
0x8d900f213db5205c529aaba5d10e71a0ed2646db,362
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,715
0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,910
0x96479b087cb8f236a5e2dcbfc50ce63b2f421da6,238
0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,596
0x9a363adc5d382c04d36b09158286328f75672098,507
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,350
0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,422
0x9e6ec4e98793970a1307262ba68d37594e58cd78,780
0xa7e94d933eb0c439dda357f61244a485246e97b8,564
0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,185
0xa98dc64bb42575efec7d1e4560c029231ce5da51,126
0xb271ff7090b39028eb6e711c3f89a3453d5861ee,613
0xb475576594ae44e1f75f534f993cbb7673e4c8b6,678
0xb57297c5d02def954794e593db93d0a302e43e5c,739
0xbd4a00764217c13a246f86db58d74541a0c3972a,550
0xc179d55f7e00e789915760f7d260a1bf6285278b,527
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,357
0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,422
0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,686
0xcf0033bf27804640e5339e06443e208db5870dd2,414
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,545
0xd1a3888fd8f490367c6104e10b4154427c02dd9c,254
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,108
0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,528
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,594
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,795
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,416
0xebb8629e8a3ec86cf90cb7600264415640834483,557
0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,429
0xf10fd8921019615a856c1e95c7cd3632de34edc4,526
0xf340b9f2098f80b86fbc5ede586c319473aa11f3,432
0xf54f36bca969800fd7d63a68029561309938c09b,350
0xf60304b534f74977e159b2e159e135475c245526,457
0xf67e8e5805835465f7eba988259db882ab726800,293
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,595
0xf80a8b9cfff0febf49914c269fb8aead4a22f847,309
0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,478
